Generation,Mean Fit,Max Fit,Mean Links,Max Links
1,1.127,4.879,5.0,7
2,1.933,5.934,4.0,9
3,1.841,5.934,6.0,16
4,2.163,5.934,4.0,5
5,2.195,5.934,3.0,5
6,2.688,5.934,5.0,7
7,2.615,5.934,6.0,11
8,1.677,5.934,4.0,5
9,2.175,5.934,4.0,7
10,2.444,5.934,4.0,11
11,2.362,5.934,4.0,7
12,2.502,5.934,4.0,10
13,2.743,5.934,5.0,10
14,1.965,5.934,6.0,21
15,2.814,5.934,5.0,10
16,2.332,5.934,4.0,9
17,1.922,5.934,2.0,5
18,1.431,5.934,4.0,10
19,2.661,7.266,6.0,10
20,2.889,7.266,5.0,10
21,1.838,7.266,6.0,13
22,2.849,7.266,5.0,10
23,2.172,7.266,8.0,22
24,2.618,7.266,8.0,22
25,2.92,7.266,10.0,27
26,2.829,7.266,8.0,13
27,2.179,7.266,6.0,10
28,2.525,7.266,6.0,10
29,3.622,7.438,8.0,22
30,3.745,7.438,7.0,21
31,2.871,7.438,6.0,13
32,2.798,7.438,6.0,13
33,2.192,7.438,6.0,13
34,4.161,8.873,10.0,13
35,2.853,8.873,9.0,16
36,2.179,8.873,8.0,13
37,3.233,8.873,11.0,15
38,3.442,8.873,10.0,15
39,3.387,8.873,10.0,15
40,3.844,8.885,9.0,13
41,2.692,8.885,7.0,13
42,2.686,8.885,9.0,13
43,2.87,8.885,11.0,16
44,2.984,8.885,11.0,22
45,2.028,8.885,11.0,40
46,3.252,8.885,8.0,13
47,3.177,8.885,10.0,16
48,2.856,8.885,10.0,16
49,2.406,8.885,13.0,16
50,2.674,8.885,10.0,16
51,1.924,8.885,8.0,13
52,2.131,8.885,8.0,16
53,3.651,8.885,12.0,40
54,2.791,8.885,15.0,40
55,3.309,8.885,21.0,49
56,2.57,8.885,12.0,28
57,2.72,8.885,15.0,40
58,3.308,8.885,10.0,14
59,3.956,8.885,10.0,13
60,3.747,9.97,12.0,16
61,4.338,9.97,11.0,13
62,4.532,9.97,12.0,13
63,2.293,9.97,10.0,40
64,3.059,9.97,28.0,121
65,3.139,9.97,23.0,49
66,3.912,9.97,21.0,67
67,2.797,9.97,14.0,40
68,2.588,9.97,12.0,16
69,3.367,9.97,12.0,22
70,2.596,9.97,7.0,16
71,2.945,9.97,12.0,16
72,3.476,9.97,13.0,40
73,3.91,9.97,13.0,40
74,4.391,9.97,19.0,67
75,3.588,9.97,10.0,13
76,3.414,9.97,10.0,13
77,2.711,9.97,8.0,13
78,2.19,9.97,10.0,13
79,2.072,9.97,9.0,14
80,2.402,9.97,10.0,15
81,2.595,9.97,8.0,13
82,3.003,9.97,10.0,22
83,2.184,9.97,8.0,22
84,3.721,9.97,11.0,40
85,2.919,9.97,12.0,43
86,3.206,9.97,10.0,25
87,3.875,9.97,10.0,13
88,3.807,9.97,11.0,14
89,3.12,9.97,11.0,19
90,3.411,9.97,12.0,22
91,3.14,9.97,8.0,13
92,2.742,9.97,8.0,13
93,2.89,9.97,8.0,13
94,3.213,9.97,10.0,19
95,3.61,9.97,11.0,13
96,4.268,9.97,11.0,13
97,3.919,9.97,15.0,31
98,4.428,9.97,14.0,27
99,4.748,9.97,16.0,40
100,4.274,9.97,12.0,16
