Spotting ID,Bee Spotter,Date Added to Site,Year Added to Site,Month Added to Site,Day Added to Site,Number of Days Between Site Launch and Date Added to Site,Title,Date Spotted,Year Spotted,Month Spotted,Day Spotted,Number of Days Between Site Launch and Date Spotted,Number of Days Between Date Spotted and Date Added to Site,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Gender,Spotting URL
8165,drea1785,4/11/2019,2019,4,11,4202,Burnett Woods Yellow Flowers,3/27/2019,2019,3,27,4187,15,39.14118008,-84.51571405,Apis mellifera,Apis mellifera,,f,f,female,https://beespotter.org/bee/8165
8160,Streetandsky41,4/8/2019,2019,4,8,4199,Bees by nickis,4/8/2019,2019,4,8,4199,0,42.18072871,-89.01777506,Apis mellifera,Apis mellifera,,f,f,female,https://beespotter.org/bee/8160
8161,Joel Neylon,4/8/2019,2019,4,8,4199,Trash Can,4/8/2019,2019,4,8,4199,0,42.26248184,-88.86916459,Bombus griseocollis,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/8161
8162,Ritualstain,4/9/2019,2019,4,9,4200,Crocus,4/8/2019,2019,4,8,4199,1,42.34107958,-89.30320501,Bombus impatiens,Bombus impatiens,,f,f,female,https://beespotter.org/bee/8162
8171,Jennad600,4/16/2019,2019,4,16,4207,Hyacinths and Creeping Charlie,4/16/2019,2019,4,16,4207,0,40.42210115,-90.80018267,Bombus vagans,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/8171
8177,prairiebeeman,4/23/2019,2019,4,23,4214,04.22.19 Bombus on front porch,4/22/2019,2019,4,22,4213,1,39.29838962,-87.98487782,Bombus griseocollis,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/8177
8178,jennasiegel15,4/24/2019,2019,4,24,4215,Bumble Bee on beautiful pink flower,4/22/2019,2019,4,22,4213,2,41.44234612,-88.40473473,Bombus bimaculatus,Bombus impatiens,,f,f,female,https://beespotter.org/bee/8178
8179,Hurta3,4/24/2019,2019,4,24,4215,In Window,4/23/2019,2019,4,23,4214,1,39.17687774,-84.29966012,Apis mellifera,Apis mellifera,,f,f,female,https://beespotter.org/bee/8179
8183,Joel Neylon,4/25/2019,2019,4,25,4216,Spencer,4/23/2019,2019,4,23,4214,2,42.26041738,-88.8680166,Bombus impatiens,Bombus impatiens,,f,f,female,https://beespotter.org/bee/8183
13595,Dicentra,10/11/2022,2022,10,11,5481,4 23 29 HSW bee 1,4/23/2019,2019,4,23,4214,1267,41.95919391,-88.28844309,Bombus impatiens,Bombus impatiens,,f,f,female,https://beespotter.org/bee/13595
13596,Dicentra,10/11/2022,2022,10,11,5481,4 24 19 TW bee 1,4/24/2019,2019,4,24,4215,1266,41.96640761,-88.30318809,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/13596
8180,jessica1778,4/25/2019,2019,4,25,4216,Pink Box Bee,4/25/2019,2019,4,25,4216,0,41.14302472,-87.88449883,Bombus variabilis,Bombus impatiens,,f,f,female,https://beespotter.org/bee/8180
8181,Joel Neylon,4/25/2019,2019,4,25,4216,Distillery bim nest,4/25/2019,2019,4,25,4216,0,42.26300932,-88.90760064,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/8181
8182,Joel Neylon,4/25/2019,2019,4,25,4216,Mondale bim nest,4/25/2019,2019,4,25,4216,0,42.25613962,-89.01406556,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/8182
8192,prairiebeeman,4/29/2019,2019,4,29,4220,4.29.19 Bombus searching forest floor,4/29/2019,2019,4,29,4220,0,39.2959154,-87.92143822,Bombus impatiens,Bombus impatiens,,f,f,female,https://beespotter.org/bee/8192
8194,Jennad600,5/4/2019,2019,5,4,4225,Apple tree bee,5/4/2019,2019,5,4,4225,0,40.42218124,-90.80023007,Apis mellifera,Apis mellifera,,f,f,female,https://beespotter.org/bee/8194
8200,Jennad600,5/7/2019,2019,5,7,4228,Bumblebee on Creeping Charlie,5/4/2019,2019,5,4,4225,3,40.42219388,-90.80025349,Bombus griseocollis,Bombus impatiens,,f,f,female,https://beespotter.org/bee/8200
