Spotting ID,Bee Spotter,Date Added to Site,Year Added to Site,Month Added to Site,Day Added to Site,Number of Days Between Site Launch and Date Added to Site,Title,Date Spotted,Year Spotted,Month Spotted,Day Spotted,Number of Days Between Site Launch and Date Spotted,Number of Days Between Date Spotted and Date Added to Site,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Gender,Spotting URL
1091,gord,1/17/2009,2009,1,17,466,20070809-00741,8/9/2007,2007,8,9,-61,527,42.02525992,-88.05587053,Apis mellifera,Apis mellifera,,f,f,,https://beespotter.org/bee/1091
401,HaarFager,7/7/2008,2008,7,7,272,American Bumble Bee 1,8/10/2007,2007,8,10,-60,332,37.98188945,-88.33445549,,Bombus fervidus,,f,f,female,https://beespotter.org/bee/401
217,CityEcology,5/2/2008,2008,5,2,206,BB 20070823,8/23/2007,2007,8,23,-47,253,39.3088003,-76.54741287,Bombus fervidus,Bombus fervidus,,f,f,,https://beespotter.org/bee/217
151,MBubniak,2/20/2008,2008,2,20,134,Lake of the Woods,9/5/2007,2007,9,5,-34,168,40.19721616,-88.38138342,,Bombus bimaculatus,Bombus griseocollis,f,f,,https://beespotter.org/bee/151
402,HaarFager,7/7/2008,2008,7,7,272,American Bumble Bee 2,9/11/2007,2007,9,11,-28,300,37.9816865,-88.33394051,,Bombus fervidus,,f,f,female,https://beespotter.org/bee/402
64,kgrabow,10/9/2007,2007,10,9,0,bee1,9/26/2007,2007,9,26,-13,13,40.09718834,-88.18345785,Bombus variabilis,Apis mellifera,,f,f,female,https://beespotter.org/bee/64
65,kgrabow,10/9/2007,2007,10,9,0,bee2,9/26/2007,2007,9,26,-13,13,40.09709807,-88.18369389,Bombus variabilis,Apis mellifera,,f,f,female,https://beespotter.org/bee/65
66,kgrabow,10/9/2007,2007,10,9,0,bee3,9/26/2007,2007,9,26,-13,13,40.09681082,-88.18316817,Bombus variabilis,Apis mellifera,,f,f,female,https://beespotter.org/bee/66
67,kgrabow,10/9/2007,2007,10,9,0,bee4,9/26/2007,2007,9,26,-13,13,40.09763152,-88.18387628,Bombus fervidus,Apis mellifera,,f,f,female,https://beespotter.org/bee/67
68,kgrabow,10/9/2007,2007,10,9,0,bee 5,9/26/2007,2007,9,26,-13,13,40.0974838,-88.18382263,Bombus impatiens,Apis mellifera,,f,f,female,https://beespotter.org/bee/68
105,kgrabow,10/18/2007,2007,10,18,9,grabow beespotters,9/26/2007,2007,9,26,-13,22,40.09664668,-88.18309307,,Apis mellifera,,f,f,female,https://beespotter.org/bee/105
60,jkvc,10/8/2007,2007,10,8,0,Bee1-Homer Lake,10/6/2007,2007,10,6,-3,2,40.06808811,-87.9857254,,Apis mellifera,,f,f,female,https://beespotter.org/bee/60
61,jkvc,10/8/2007,2007,10,8,0,BumbleBee1,10/6/2007,2007,10,6,-3,2,40.10302331,-88.18536758,,Bombus bimaculatus,Bombus griseocollis,f,f,,https://beespotter.org/bee/61
85,rowrlm,10/14/2007,2007,10,14,5,Bumble bee in yard,10/7/2007,2007,10,7,-2,7,41.891102,-87.905663,,Bombus impatiens,,f,f,male,https://beespotter.org/bee/85
110,alenagust,10/22/2007,2007,10,22,13,wild honey bees,10/8/2007,2007,10,8,-1,14,,,,Apis mellifera,,f,f,female,https://beespotter.org/bee/110
63,Breebee,10/9/2007,2007,10,9,0,Bee in flight 01,10/9/2007,2007,10,9,0,0,41.825115,-87.858697,,Apis mellifera,,f,f,female,https://beespotter.org/bee/63
78,jdavison,10/13/2007,2007,10,13,4,Dead honey bee - saved speciman,10/13/2007,2007,10,13,4,0,40.12219065,-88.3039856,,Apis mellifera,,f,f,,https://beespotter.org/bee/78
84,dan drew,10/14/2007,2007,10,14,5,5:30 PM,10/14/2007,2007,10,14,5,0,41.913981,-87.688669,,Bombus bimaculatus,Bombus griseocollis,f,f,,https://beespotter.org/bee/84
101,kgrabow,10/16/2007,2007,10,16,7,grabow beespotters,10/16/2007,2007,10,16,7,0,40.09695034,-88.18360806,,Apis mellifera,,f,f,female,https://beespotter.org/bee/101
108,rowrlm,10/19/2007,2007,10,19,10,Close up of bee,10/17/2007,2007,10,17,8,2,41.88212,-87.91397,,Bombus griseocollis,Bombus bimaculatus,f,f,female,https://beespotter.org/bee/108
127,bluemoondesign,11/5/2007,2007,11,5,27,Bee on yellow rose,10/17/2007,2007,10,17,8,19,41.789434,-87.98349,,Apis mellifera,,f,f,female,https://beespotter.org/bee/127
109,Breebee,10/21/2007,2007,10,21,12,Honey Bees on Basil,10/21/2007,2007,10,21,12,0,,,,Apis mellifera,,f,f,female,https://beespotter.org/bee/109
111,shmevs,10/22/2007,2007,10,22,13,homegrown honey,10/22/2007,2007,10,22,13,0,41.29457521,-87.92615891,,Apis mellifera,,f,f,female,https://beespotter.org/bee/111
112,shmevs,10/22/2007,2007,10,22,13,countyline bumbles,10/22/2007,2007,10,22,13,0,41.29444624,-87.92667389,,Bombus impatiens,,f,f,,https://beespotter.org/bee/112
126,rowrlm,11/4/2007,2007,11,4,26,Halloween Bee,10/31/2007,2007,10,31,22,4,41.889547,-87.911828,,Bombus impatiens,,f,f,female,https://beespotter.org/bee/126
124,kmannon,11/1/2007,2007,11,1,23,deckbees,11/1/2007,2007,11,1,23,0,39.91223799,-88.27076912,,Bombus impatiens,,f,f,,https://beespotter.org/bee/124
128,Diabrotica,11/7/2007,2007,11,7,29,Honeybee on Broccoli,11/4/2007,2007,11,4,26,3,40.24391145,-88.19028139,,Apis mellifera,,f,f,female,https://beespotter.org/bee/128
165,oakgeorgia,3/26/2008,2008,3,26,169,326crocus,3/26/2008,2008,3,26,169,0,40.106496,-88.217763,Bombus affinis,Apis mellifera,,f,f,female,https://beespotter.org/bee/165
167,gzettel,3/30/2008,2008,3,30,173,Rosemary bees,3/30/2008,2008,3,30,173,0,39.0115812,-123.1957054,Bombus affinis,Apis mellifera,,f,f,female,https://beespotter.org/bee/167
168,gzettel,3/30/2008,2008,3,30,173,Rosemary#2,3/30/2008,2008,3,30,173,0,39.01558261,-123.1957054,Bombus affinis,Apis mellifera,,f,f,female,https://beespotter.org/bee/168
169,gzettel,3/30/2008,2008,3,30,173,Rosemary#3,3/30/2008,2008,3,30,173,0,39.02798555,-123.1811142,Bombus affinis,Apis mellifera,,f,f,female,https://beespotter.org/bee/169
170,lincoh,4/5/2008,2008,4,5,179,First,4/5/2008,2008,4,5,179,0,42.08771334,-88.04563522,,Apis mellifera,,f,f,,https://beespotter.org/bee/170
200,CityEcology,5/1/2008,2008,5,1,205,First Honeybee of 2008,4/10/2008,2008,4,10,184,21,39.305211,-76.550529,,Apis mellifera,,f,f,female,https://beespotter.org/bee/200
178,CityEcology,4/20/2008,2008,4,20,194,HB 20080419,4/19/2008,2008,4,19,193,1,39.305211,-76.550529,,Apis mellifera,,f,f,female,https://beespotter.org/bee/178
197,pjohnson,4/27/2008,2008,4,27,201,honeybee1,4/19/2008,2008,4,19,193,8,42.398215,-90.297625,Bombus affinis,Apis mellifera,,f,f,female,https://beespotter.org/bee/197
179,beeforben,4/20/2008,2008,4,20,194,bee tree,4/20/2008,2008,4,20,194,0,,,,Apis mellifera,,f,f,female,https://beespotter.org/bee/179
180,beeforben,4/20/2008,2008,4,20,194,bee tree,4/20/2008,2008,4,20,194,0,,,,Apis mellifera,,f,f,female,https://beespotter.org/bee/180
203,buzzbug,5/2/2008,2008,5,2,206,Baker's Lake,4/20/2008,2008,4,20,194,12,42.14571443,-88.12339783,Bombus variabilis,Bombus impatiens,,f,f,female,https://beespotter.org/bee/203
183,Gloria,4/21/2008,2008,4,21,195,First bumble,4/21/2008,2008,4,21,195,0,41.749413,-87.783903,,Bombus impatiens,,f,f,female,https://beespotter.org/bee/183
184,jwoolsey,4/21/2008,2008,4,21,195,front porch,4/21/2008,2008,4,21,195,0,40.092461,-88.262276,,Apis mellifera,,f,f,female,https://beespotter.org/bee/184
185,jwoolsey,4/21/2008,2008,4,21,195,flowering shrub,4/21/2008,2008,4,21,195,0,40.092461,-88.262276,,Bombus impatiens,,f,f,female,https://beespotter.org/bee/185
187,Diabrotica,4/22/2008,2008,4,22,196,Honeybee on Grape Hyacinth,4/21/2008,2008,4,21,195,1,40.24391145,-88.19015265,,Apis mellifera,,f,f,female,https://beespotter.org/bee/187
188,Diabrotica,4/22/2008,2008,4,22,196,Honeybee on Grape Hyacinth,4/21/2008,2008,4,21,195,1,40.24392782,-88.19013119,Bombus affinis,Apis mellifera,,f,f,female,https://beespotter.org/bee/188
189,Arlene,4/22/2008,2008,4,22,196,"Bluff Spring Fen,4/22/08",4/22/2008,2008,4,22,196,0,42.01894744,-88.25557709,Bombus griseocollis,Bombus griseocollis,Bombus bimaculatus,f,f,female,https://beespotter.org/bee/189
